,model,pooling,mv_window_size,mv_window_shift_frac,per_cls_precision_0,per_cls_precision_1,per_cls_precision_2,per_cls_precision_3,per_cls_recall_0,per_cls_recall_1,per_cls_recall_2,per_cls_recall_3,macro_precision,macro_recall,macro_f1,overall_accuracy
144,LSTM,asymmetric-max,128,0.25,0.9984994636554744,0.9531775072802978,0.8362395754295965,0.46556473827918554,0.9980091338402028,0.9666767646160507,0.8324528301823967,0.555921052613292,0.8133703211611385,0.8382649453129856,0.8256300134771664,0.9964850615114236
145,LSTM,asymmetric-max,128,0.5,0.9983433414598025,0.9697316254948385,0.8824489795846332,0.569444444424672,0.9987600566363365,0.9632687064518606,0.8158490565976163,0.5394736841927804,0.8549920977409865,0.8293378759696485,0.8419696106688344,0.997070884592853
146,LSTM,asymmetric-max,128,1.0,0.9981012140783837,0.9784406150985406,0.9128888888807744,0.6527196652446561,0.9991795094243675,0.9589518327772197,0.7750943396167917,0.5131578947199619,0.8855375958255887,0.8115958941345852,0.8469559723978403,0.9972416669148968
147,LSTM,asymmetric-max,256,0.25,0.9983433346831884,0.9697316254948385,0.8817292006453367,0.5674740484232708,0.9987559644140143,0.9632687064518606,0.8158490565976163,0.5394736841927804,0.8543195523116587,0.8293368529140679,0.8416428464736563,0.997066912910945
148,LSTM,asymmetric-max,256,0.5,0.99826027582088,0.9781905055479514,0.9090909090831854,0.6417322834393019,0.9991304027565004,0.9612996061792174,0.8075471698052261,0.5361842105086781,0.8818184934728296,0.8260403473124055,0.8530185668211261,0.9973548598492746
149,LSTM,asymmetric-max,256,1.0,0.9981056155114532,0.9830666459523201,0.9243772241910644,0.6946902654559871,0.9993493366507411,0.9584974250219944,0.7841509433903083,0.5164473684040642,0.9000599377777062,0.814611268366777,0.8552064799546248,0.9974203926007567
150,LSTM,asymmetric-max,512,0.25,0.9982623130453067,0.9781921861747875,0.9090909090831854,0.6392156862494425,0.9991283566453394,0.9613753408050882,0.8075471698052261,0.5361842105086781,0.8811902736381805,0.8260587694410829,0.8527343468395658,0.9973548598492746
151,LSTM,asymmetric-max,512,0.5,0.998193263570941,0.9827866945793728,0.9203463203383521,0.6824034334471071,0.9993125066498408,0.9599363829135413,0.8022641509373415,0.5230263157722689,0.8959324279839432,0.8211348390682481,0.8569044904654117,0.9974740103065145
152,LSTM,asymmetric-max,512,1.0,0.9981016757972655,0.9859001324289274,0.9271758436862596,0.6950672645428221,0.9994229966525416,0.9584974250219944,0.7879245282959403,0.5098684210358596,0.9015612291138186,0.813928342751584,0.8555064919761967,0.9974978403979625
153,LSTM,asymmetric-max,1024,0.25,0.998193263570941,0.9827866945793728,0.9203463203383521,0.6824034334471071,0.9993125066498408,0.9599363829135413,0.8022641509373415,0.5230263157722689,0.8959324279839432,0.8211348390682481,0.8569044904654117,0.9974740103065145
154,LSTM,asymmetric-max,1024,0.5,0.9981526363758773,0.9857565379817981,0.9248251748170908,0.6916299559166682,0.9994066277632526,0.9591790366548324,0.7984905660317095,0.5164473684040642,0.9000910762728587,0.8183808997134647,0.857293398823093,0.9975315996941805
